3.55107, 47.84411, "Cora Moneteau"
4.79010, 48.12383, "Elan Ville-sous-la-Ferte"
3.27704, 48.21660, "Leclerc Saint Denis les Sens"
4.13342, 48.29794, "Leclerc Troyes"
4.15536, 48.53401, "Carrefour-market Arcis-sur-Aube"
3.39199, 49.06325, "Netto Château-Thierry"
4.05644, 49.21569, "Cora Cormontreuil"
3.97578, 49.25410, "Carrefour Reims"
4.10927, 49.28389, "Carrefour-market Witry les Reims"
4.37377, 49.52111, "Carrefour Rethel"
3.64919, 49.58685, "Leclerc Chambry"
2.77790, 49.70384, "Elf Roye"
2.77519, 49.70789, "Intermarché Roye"
3.26487, 49.85188, "Intermarché Saint Quentin"
2.86206, 50.09481, "Intermarché Bapaume"
3.40710, 50.31096, "Elf Haulchin"
3.51672, 50.33405, "Carrefour Aulnoy-lez-Valenciennes"
3.47489, 50.37659, "Auchan Petite Forêt"
2.98047, 50.41387, "Auchan Noyelles-Godault"
3.23189, 50.47638, "Simply-market Orchies"
3.04996, 50.54604, "Elf Seclin"
3.08407, 50.58468, "Elf Faches-Thumesnil"
2.84177, 50.68559, "Intermarché Nieppe"
2.74067, 50.72341, "Leclerc Bailleul"
4.99746, 45.82293, "Leclerc Beynost"
6.08989, 45.89264, "Leclerc Cran Gevrier"
5.33437, 46.04976, "Super-U Pont d'Ain"
5.81213, 46.12566, "Intermarché Châtillon-en-Michaille"
6.06903, 46.13833, "Intermarché Saint Julien en Genevois"
4.88026, 46.29937, "Intermarché Replonges"
4.90397, 46.57263, "Elf Tournus"
4.83480, 46.79795, "Géant Chalon sur Saône"
5.56694, 46.82814, "Maxi marché Sellières"
4.83971, 47.01488, "Carrefour Beaune"
5.45505, 47.06457, "Cora Choisey"
4.96682, 47.13263, "Carrefour-market Nuits-Saint-Georges"
5.99365, 47.28377, "Carrefour Besançon"
5.10634, 47.31012, "Carrefour Quetigny"
4.90984, 47.31856, "Colruyt Velars sur Ouche"
6.83481, 47.51398, "Super-u Sochaux"
7.55216, 47.59857, "Elf Saint Louis"
7.49289, 47.63557, "Intermarché Bartenheim"
6.91638, 47.64118, "Auchan Belfort-Bessoncourt"
7.38726, 47.77194, "Carrefour Mulhouse"
7.33492, 47.77693, "Auchan Mulhouse"
7.36924, 48.12971, "Cora Houssen"
7.46234, 48.28112, "Leclerc Sélestat"
5.84218, 48.29958, "Super-U Châtenois"
7.69553, 48.52143, "Leclerc Geispolsheim"
7.72414, 48.65497, "Cora Mundolsheim"
5.97441, 48.69068, "Shopi Gondreville"
7.70698, 48.70959, "Intermarché Brumath"
7.25593, 48.77026, "Intermarché Phalsbourg"
8.08691, 48.89543, "Super-U Seltz"
6.80764, 49.13668, "Leclerc Freyming-Betting"
6.14349, 49.19271, "Auchan Semecourt"
5.99412, 49.19700, "Cora Ste Marie aux Chênes"
