Errors,ID,Latitude,Longitude,Adresse,CP,Ville
Inversion Lat Long,76500002,101330.833631,4928710.54181,43 cours carnot,76500,elbeuf
Lat Long Vides,76930001,,,rue du café blanc,76930,octeville-sur-mer
Marker Hors Zone,76930001,0,0,rue du café blanc,76930,octeville-sur-mer
Inversion Lat Long,77181001,262339,4891061,rd 34 route de chelles,77181,le pin
Lat Long Vides,77310007,,,rn7,77310,st fargeau ponthierry
Marker Hors Zone,77310007,0,0,rn7,77310,st fargeau ponthierry
Inversion Lat Long,77410003,267763,4891010,autoroute a104,77410,villevaude
Lat Long Vides,78000011,,,rue de dreux n12,78390,bois d'arcy
Marker Hors Zone,78000011,0,0,rue de dreux n12,78390,bois d'arcy
Lat Long Vides,78130003,,,station service,78130,les mureaux
Marker Hors Zone,78130003,0,0,station service,78130,les mureaux
Lat Long Vides,78180009,,,69 boulevard vauban,78180,montigny le bretonneux
Marker Hors Zone,78180009,0,0,69 boulevard vauban,78180,montigny le bretonneux
Inversion Lat Long,78300009,203388,4892109,45 avenue de la maladrerie,78300,poissy
Inversion Lat Long,78310005,194570,4876206,avenue de langres,78310,maurepas
Inversion Lat Long,78550009,161966,4879287,22 avenue gerard annel - d912,78550,maulette
Lat Long Vides,78700006,,,184 route nationale hautes coutures,78700,conflans ste honorine
Marker Hors Zone,78700006,0,0,184 route nationale hautes coutures,78700,conflans ste honorine
Inversion Lat Long,79150001,-45378.503,4698528.867,avenue camille jouffrault,79150,argenton-les-vallées
Lat Long Vides,79800006,,,a10 aire de rouillé pamproux,79800,la mothe-saint-héray
Marker Hors Zone,79800006,0,0,a10 aire de rouillé pamproux,79800,la mothe-saint-héray
Lat Long Vides,81160003,,,70 avenue jean jaurès,81160,saint-juéry
Marker Hors Zone,81160003,0,0,70 avenue jean jaurès,81160,saint-juéry
Inversion Lat Long,83500013,587236,4310676,278 boulevard marechal juin,83500,la seyne sur mer
Inversion Lat Long,84507001,473489,4431880,ancien chemin de saint-paul-trois-chateaux,84500,bollène
Lat Long Vides,84740002,,,319 route de cavaillon - d31,84740,velleron
Marker Hors Zone,84740002,0,0,319 route de cavaillon - d31,84740,velleron
Inversion Lat Long,86102001,52572,4679115,13 avenue honoré de balzac,86102,châtellerault
Lat Long Vides,86580002,,,13 place de la croix cadet,86580,vouneuil sous biard
Marker Hors Zone,86580002,0,0,13 place de la croix cadet,86580,vouneuil sous biard
Lat Long Vides,87000005,,,129 rue des tuilières,87100,limoges
Marker Hors Zone,87000005,0,0,129 rue des tuilières,87100,limoges
Lat Long Vides,87000024,,,129 rue des tuilières,87100,limoges
Marker Hors Zone,87000024,0,0,129 rue des tuilières,87100,limoges
Inversion Lat Long,87100004,124194.302558,4582146.54804,boulevard de bel air,87000,limoges
Lat Long Vides,87140002,,,17 rue du college,87140,nantiat
Marker Hors Zone,87140002,0,0,17 rue du college,87140,nantiat
Lat Long Vides,88340002,,,91 grande rue,88340,le val d'ajol
Marker Hors Zone,88340002,0,0,91 grande rue,88340,le val d'ajol
Inversion Lat Long,88400004,687934,4807365,68 boulevard kelsch,88400,gerardmer
